,well_id,results,chemical,date,units,qualifer,rl,latitude,longitude,well_type,well_depth_ft,top_of_screen_ft,screen_length_ft,source,source_name,other_names,year,month
96845,TUL980,0.0,TCE,2006-06-06,UG/L,ND,0.5,36.17368779,-118.7990168,DOMESTIC,,,,GAMA,TUL980,TUL980,2006,6
96867,SD 816,0.5,TCE,2008-05-08,UG/L,<,0.5,33.06034426,-116.8427544,DOMESTIC,,,,GAMA,SD 816,SD 816,2008,5
96877,SD 819,0.5,TCE,2008-05-13,UG/L,<,0.5,33.06915211,-116.8387101,DOMESTIC,,,,GAMA,SD 819,SD 819,2008,5
96946,SD 923,0.5,TCE,2008-12-11,UG/L,<,0.5,33.230082884,-116.98166234,DOMESTIC,,,,GAMA,SD 923,SD 923,2008,12
96977,SD 876,0.5,TCE,2008-06-17,UG/L,<,0.5,32.83261164,-116.6980183,DOMESTIC,,,,GAMA,SD 876,SD 876,2008,6
97129,SD 829,0.5,TCE,2008-05-21,UG/L,<,0.5,33.02276822,-116.9509872,DOMESTIC,,,,GAMA,SD 829,SD 829,2008,5
97183,SD 905,0.5,TCE,2008-12-02,UG/L,<,0.5,33.078335390999996,-116.651001298,DOMESTIC,,,,GAMA,SD 905,SD 905,2008,12
97340,TUL1064,0.0,TCE,2006-06-13,UG/L,ND,0.5,36.12224246,-119.2848719,DOMESTIC,,,,GAMA,TUL1064,TUL1064,2006,6
97358,TUL923,0.0,TCE,2006-04-20,UG/L,ND,0.5,36.44945375,-119.13253,DOMESTIC,,,,GAMA,TUL923,TUL923,2006,4
97667,SD 844,0.5,TCE,2008-05-28,UG/L,<,0.5,33.35766069,-117.20495190000001,DOMESTIC,,,,GAMA,SD 844,SD 844,2008,5
97901,TUL1104,0.0,TCE,2006-06-22,UG/L,ND,0.5,36.205071200000006,-118.824405,DOMESTIC,,,,GAMA,TUL1104,TUL1104,2006,6
98050,TUL975,0.0,TCE,2006-05-11,UG/L,ND,0.5,36.56569447,-119.229522,DOMESTIC,,,,GAMA,TUL975,TUL975,2006,5
98084,SD 917,0.5,TCE,2008-12-09,UG/L,<,0.5,33.009949524,-117.23699673,DOMESTIC,,,,GAMA,SD 917,SD 917,2008,12
98268,TUL921,0.0,TCE,2006-04-20,UG/L,ND,0.5,36.38558148,-118.95471850000001,DOMESTIC,,,,GAMA,TUL921,TUL921,2006,4
98470,SD 930,0.5,TCE,2008-12-18,UG/L,<,0.5,33.381205875,-116.68933554899999,DOMESTIC,,,,GAMA,SD 930,SD 930,2008,12
98488,TUL999,0.0,TCE,2006-05-18,UG/L,ND,0.5,35.92569249,-119.27281459999999,DOMESTIC,,,,GAMA,TUL999,TUL999,2006,5
98504,TUL950,0.0,TCE,2006-04-26,UG/L,ND,0.5,35.8586499,-119.251277,DOMESTIC,,,,GAMA,TUL950,TUL950,2006,4
98572,SD 870,0.5,TCE,2008-06-11,UG/L,<,0.5,32.85566096,-116.8790528,DOMESTIC,,,,GAMA,SD 870,SD 870,2008,6
98589,SD 832,0.5,TCE,2008-05-22,UG/L,<,0.5,33.01444659,-116.9443226,DOMESTIC,,,,GAMA,SD 832,SD 832,2008,5
98693,SD 854,0.5,TCE,2008-06-03,UG/L,<,0.5,33.40916646,-117.20571969999999,DOMESTIC,,,,GAMA,SD 854,SD 854,2008,6
98906,TEH 873,0.0,TCE,2005-05-24,UG/L,ND,,40.0468466,-122.1012752,DOMESTIC,,,,GAMA,TEH 873,Hwy 99 East,2005,5
98929,TEH 861,0.0,TCE,2005-05-25,UG/L,ND,,40.0419434,-122.1079477,DOMESTIC,,,,GAMA,TEH 861,Wanda Court,2005,5
98953,TEH 839,0.0,TCE,2005-05-17,UG/L,ND,,40.012402021,-122.086609071,DOMESTIC,,,,GAMA,TEH 839,Sherman Street,2005,5
99007,TEH 862,0.0,TCE,2005-05-24,UG/L,ND,,40.0441566,-122.111745,DOMESTIC,,,,GAMA,TEH 862,Willow Branch Lane,2005,5
99117,TEH 818,0.0,TCE,2005-05-19,UG/L,ND,,40.036190344,-122.09619938200001,DOMESTIC,,,,GAMA,TEH 818,Sherwood Blvd.,2005,5
99151,TEH 859,0.0,TCE,2005-05-26,UG/L,ND,,40.014351,-122.09294340000001,DOMESTIC,,,,GAMA,TEH 859,Brandee Lane,2005,5
99385,TEH 898,0.0,TCE,2005-05-25,UG/L,ND,,40.046944700000005,-122.1038965,DOMESTIC,,,,GAMA,TEH 898,Garstang lane,2005,5
99819,TEH 661,0.0,TCE,2005-04-07,UG/L,ND,,40.276171427,-122.32158728700001,DOMESTIC,,,,GAMA,TEH 661,Robinhood Lane,2005,4
99994,TEH 813,0.0,TCE,2005-05-11,UG/L,ND,,40.317867988,-122.205593695,DOMESTIC,,,,GAMA,TEH 813,Salmon Pl.,2005,5
100020,TEH 702,0.0,TCE,2005-04-12,UG/L,ND,,40.302320682,-122.35427925,DOMESTIC,,,,GAMA,TEH 702,Quail Ridge Road,2005,4
100060,TEH 733,0.0,TCE,2005-04-21,UG/L,ND,,40.293390076,-122.414325401,DOMESTIC,,,,GAMA,TEH 733,Prentice Road,2005,4
100195,TEH 747,0.0,TCE,2005-04-28,UG/L,ND,,40.249194331999995,-122.22284643,DOMESTIC,,,,GAMA,TEH 747,Sunburst Lane,2005,4
100384,TEH 685,0.0,TCE,2005-04-21,UG/L,ND,,40.281600279,-122.328529505,DOMESTIC,,,,GAMA,TEH 685,Matlock Loop Road,2005,4
100521,TEH 821,0.0,TCE,2005-05-11,UG/L,ND,,40.1493836,-122.3457629,DOMESTIC,,,,GAMA,TEH 821,Live Oak Road,2005,5
100561,TEH 804,0.0,TCE,2005-05-10,UG/L,ND,,40.274846813,-122.25367539,DOMESTIC,,,,GAMA,TEH 804,Shangri-la,2005,5
100654,TEH 681,0.0,TCE,2005-04-06,UG/L,ND,,40.298181531,-122.271416414,DOMESTIC,,,,GAMA,TEH 681,Scenic Drive,2005,4
100665,TEH 795,0.0,TCE,2005-05-05,UG/L,ND,,40.253323212,-122.217517165,DOMESTIC,,,,GAMA,TEH 795,Johnson Road,2005,5
100792,TEH 721,0.0,TCE,2005-04-07,UG/L,ND,,40.30681081,-122.356160468,DOMESTIC,,,,GAMA,TEH 721,Dolores Drive,2005,4
100815,TEH 766,0.0,TCE,2005-05-12,UG/L,ND,,40.250342718,-122.48203549799999,DOMESTIC,,,,GAMA,TEH 766,Hwy 36 West,2005,5
100989,TEH 769,0.0,TCE,2005-04-28,UG/L,ND,,40.252358076,-122.263982376,DOMESTIC,,,,GAMA,TEH 769,Skyline Drive,2005,4
101052,TEH 790,0.0,TCE,2005-05-12,UG/L,ND,,40.2499198,-122.367194,DOMESTIC,,,,GAMA,TEH 790,Winans Road,2005,5
101533,YUB 303,0.5,TCE,2002-05-13,UG/L,<,,39.222309688,-121.593096531,DOMESTIC,,,,GAMA,YUB 303,Shell Road,2002,5
101741,YUB 278,0.5,TCE,2002-05-14,UG/L,<,,39.292419913,-121.445843269,DOMESTIC,,,,GAMA,YUB 278,Hill Road,2002,5
101901,YUB 212,0.5,TCE,2002-05-17,UG/L,<,,39.356765395,-121.27583208,DOMESTIC,,,,GAMA,YUB 212,Marysville Road,2002,5
102093,YUB 295,0.5,TCE,2002-04-29,UG/L,<,,39.352349764,-121.26248336799999,DOMESTIC,,,,GAMA,YUB 295,Antelope Trail,2002,4
102123,YUB 219,0.5,TCE,2002-05-17,UG/L,<,,39.377978057,-121.22481847200001,DOMESTIC,,,,GAMA,YUB 219,Hart Lane,2002,5
102138,YUB 253,0.5,TCE,2002-05-04,UG/L,<,,39.244935091,-121.341961991,DOMESTIC,,,,GAMA,YUB 253,Belza Drive,2002,5
102164,YUB 289,180.0,TCE,2002-06-09,UG/L,=,,39.272711267,-121.363851516,DOMESTIC,,,,GAMA,YUB 289,Peoria Road,2002,6
102370,YUB 308,0.5,TCE,2002-04-26,UG/L,<,,39.290079688,-121.320519533,DOMESTIC,,,,GAMA,YUB 308,White Oak Lane,2002,4
102547,ANT-47,0.02,TCE,2008-03-17,UG/L,<,0.02,34.73755,-118.21763333,MUNICIPAL,1100.0,0.0,0.0,USGS,ANT-47,ANT-47,2008,3
102694,ANT-27,0.037000000000000005,TCE,2008-02-11,UG/L,=,0.02,34.74609415,-118.13118352,MUNICIPAL,220.0,0.0,0.0,USGS,ANT-27,ANT-27,2008,2
102721,ANT-11,0.02,TCE,2008-01-30,UG/L,<,0.02,34.751325,-118.08430556,MUNICIPAL,125.0,80.0,22.0,USGS,ANT-11,ANT-11,2008,1
102816,BV-03,0.022000000000000002,TCE,2009-10-20,UG/L,<,0.022000000000000002,33.34926389,-116.40034444,MUNICIPAL,350.0,150.0,200.0,USGS,BV-03,BV-03,2009,10
102869,BV-05,0.022000000000000002,TCE,2012-10-18,UG/L,<,0.022000000000000002,33.22603056,-116.34831667,MUNICIPAL,580.0,248.0,320.0,USGS,BV-05,BV-05,2012,10
102887,BV-07,0.022000000000000002,TCE,2009-12-03,UG/L,<,0.022000000000000002,33.19086111,-116.28672222,MUNICIPAL,378.0,0.0,0.0,USGS,BV-07,BV-07,2009,12
103004,COAU-04,0.02,TCE,2007-03-06,UG/L,<,0.02,33.7455,-116.21191667,MUNICIPAL,400.0,280.0,120.0,USGS,COAU-04,COAU-04,2007,3
103041,COA-12,0.022000000000000002,TCE,2011-01-05,UG/L,<,0.022000000000000002,33.55091667,-116.04075,MUNICIPAL,525.0,445.0,80.0,USGS,COA-12,COA-12,2011,1
103278,COAU-01,0.02,TCE,2007-02-26,UG/L,<,0.02,33.98947222,-116.65797222,MUNICIPAL,96.0,12.0,31.0,USGS,COAU-01,COAU-01,2007,2
103351,COAU-10,0.02,TCE,2007-03-20,UG/L,<,0.02,33.95083333,-116.51836111,MUNICIPAL,1070.0,410.0,640.0,USGS,COAU-10,COAU-10,2007,3
103393,COA-07,0.02,TCE,2007-03-06,UG/L,<,0.02,33.62611111,-116.27063889,MUNICIPAL,240.0,0.0,0.0,USGS,COA-07,COA-07,2007,3
103414,COAU-08,0.02,TCE,2007-03-14,UG/L,<,0.02,33.78591667,-116.53619444,MUNICIPAL,730.0,476.0,250.0,USGS,COAU-08,COAU-08,2007,3
103472,COAU-12,0.02,TCE,2007-03-22,UG/L,<,0.02,34.024002780000004,-116.89013056,MUNICIPAL,160.0,55.0,100.0,USGS,COAU-12,COAU-12,2007,3
103513,COA-01,0.025,TCE,2017-02-21,UG/L,<,0.025,33.92569444,-116.78875,MUNICIPAL,1200.0,900.0,300.0,USGS,COA-01,COA-01,2017,2
103743,CLABOC-23,0.02,TCE,2006-11-13,UG/L,<,0.038,33.92386111,-117.95888889,MUNICIPAL,970.0,460.0,490.0,USGS,CLABOC-23,CLABOC-23,2006,11
103823,SCRV-11,0.02,TCE,2007-04-09,UG/L,<,0.02,34.25344444,-118.86538889,MUNICIPAL,636.0,316.0,320.0,USGS,SCRV-11,SCRV-11,2007,4
103883,NOCO-CO-18,0.02,TCE,2009-08-31,UG/L,<,0.02,40.60411111,-124.1785,MUNICIPAL,65.0,55.0,5.0,USGS,NOCO-CO-18,NOCO-CO-18,2009,8
103973,USAWE-01,0.02,TCE,2006-12-04,UG/L,<,0.02,33.63141667,-117.29541667,MUNICIPAL,1430.0,420.0,990.0,USGS,USAWE-01,USAWE-01,2006,12
104218,OIW-05,0.022000000000000002,TCE,2010-10-27,UG/L,<,0.022000000000000002,35.60023344,-117.81145559999999,MUNICIPAL,1020.0,0.0,0.0,USGS,OIW-05,OIW-05,2010,10
104234,OIW-05,0.025,TCE,2016-12-14,UG/L,<,0.025,35.60023344,-117.81145559999999,MUNICIPAL,1020.0,0.0,0.0,USGS,OIW-05,OIW-05,2016,12
104530,NOCO-IN-27,0.02,TCE,2009-07-27,UG/L,<,0.02,39.0525,-122.69441667,MUNICIPAL,155.0,40.0,75.0,USGS,NOCO-IN-27,NOCO-IN-27,2009,7
104878,MOJO-23,0.02,TCE,2008-02-26,UG/L,<,0.02,34.42344444,-117.08172222,MUNICIPAL,0.0,0.0,0.0,USGS,MOJO-23,MOJO-23,2008,2
104983,NOCO-CO-29,0.022000000000000002,TCE,2009-10-07,UG/L,<,0.022000000000000002,40.89794444,-124.11930556,MUNICIPAL,200.0,0.0,0.0,USGS,NOCO-CO-29,NOCO-CO-29,2009,10
105053,NOCO-CO-03,0.02,TCE,2009-08-03,UG/L,<,0.02,40.74333333,-124.19933333,MUNICIPAL,380.0,280.0,90.0,USGS,NOCO-CO-03,NOCO-CO-03,2009,8
105159,MOJO-18,0.02,TCE,2008-02-14,UG/L,<,0.02,34.44197222,-117.23200000000001,MUNICIPAL,0.0,0.0,0.0,USGS,MOJO-18,MOJO-18,2008,2
105556,S-NSF-VP21,0.022000000000000002,TCE,2012-08-22,UG/L,<,0.022000000000000002,38.330999999999996,-122.50588889,MUNICIPAL,,,,USGS,S-NSF-VP21,S-NSF-VP21,2012,8
105998,S-NSF-VP15,0.022000000000000002,TCE,2012-07-13,UG/L,<,0.022000000000000002,38.45061111,-122.71033333,MUNICIPAL,,,,USGS,S-NSF-VP15,S-NSF-VP15,2012,7
106168,S-NSF-VP30,0.022000000000000002,TCE,2012-08-21,UG/L,<,0.022000000000000002,38.55341667,-122.509,MUNICIPAL,,,,USGS,S-NSF-VP30,S-NSF-VP30,2012,8
106258,NSFVOL-18,0.038,TCE,2004-10-20,UG/L,<,0.038,38.51069444,-122.45372222,MUNICIPAL,670.0,135.0,525.0,USGS,NSFVOL-18,NSFVOL-18,2004,10
106384,NSFVP-19,0.038,TCE,2004-09-16,UG/L,<,0.038,38.60852778,-122.85738889,MUNICIPAL,100.0,20.0,40.0,USGS,NSFVP-19,NSFVP-19,2004,9
106410,NSFWG-08,0.038,TCE,2004-10-04,UG/L,<,0.038,38.39783333,-122.82725,MUNICIPAL,600.0,332.0,268.0,USGS,NSFWG-08,NSFWG-08,2004,10
106550,NSFVP-34,0.038,TCE,2004-10-18,UG/L,<,0.038,38.38516667,-122.52038889,MUNICIPAL,258.0,41.0,217.0,USGS,NSFVP-34,NSFVP-34,2004,10
106754,NSFVP-39,0.02,TCE,2007-11-16,UG/L,<,0.02,38.53019444,-122.49155556,MUNICIPAL,460.0,56.0,404.0,USGS,NSFVP-39,NSFVP-39,2007,11
106843,NSFVP-46,0.038,TCE,2004-11-03,UG/L,<,0.038,38.45569444,-122.41608333,MUNICIPAL,180.0,40.0,140.0,USGS,NSFVP-46,NSFVP-46,2004,11
107013,NSFVP-21,0.038,TCE,2004-09-20,UG/L,<,0.038,38.25436111,-122.63461111,MUNICIPAL,314.0,80.0,230.0,USGS,NSFVP-21,NSFVP-21,2004,9
107032,NSFVP-14,0.038,TCE,2004-09-14,UG/L,<,0.038,38.43869444,-122.80608333,MUNICIPAL,550.0,507.0,40.0,USGS,NSFVP-14,NSFVP-14,2004,9
107079,NSFVP-03,0.038,TCE,2004-08-31,UG/L,<,0.038,38.38755556,-122.74183333,MUNICIPAL,120.0,55.0,30.0,USGS,NSFVP-03,NSFVP-03,2004,8
107146,NSFVP-01,0.038,TCE,2004-08-31,UG/L,<,0.038,38.33572222,-122.6405,MUNICIPAL,864.0,441.0,421.0,USGS,NSFVP-01,NSFVP-01,2004,8
107171,NSFVP-24,0.038,TCE,2004-09-22,UG/L,<,0.038,38.47363889,-122.72819444,MUNICIPAL,85.0,65.0,20.0,USGS,NSFVP-24,NSFVP-24,2004,9
107356,SCRV-04,0.02,TCE,2007-04-03,UG/L,<,0.02,34.45311111,-119.19075,MUNICIPAL,0.0,0.0,0.0,USGS,SCRV-04,SCRV-04,2007,4
107529,OV-24,0.025,TCE,2016-12-07,UG/L,<,0.025,37.16594444,-118.28158333,MUNICIPAL,305.0,120.0,180.0,USGS,OV-24,OV-24,2016,12
107560,OV-36,0.022000000000000002,TCE,2010-10-26,UG/L,<,0.022000000000000002,36.24038889,-117.96983333,MUNICIPAL,0.0,0.0,0.0,USGS,OV-36,OV-36,2010,10
107573,OV-17,0.038,TCE,2006-09-21,UG/L,<,0.038,37.35519444,-118.33280556,MUNICIPAL,616.0,47.0,275.0,USGS,OV-17,OV-17,2006,9
107615,OV-14,0.038,TCE,2006-09-19,UG/L,<,0.038,36.81215460000001,-118.193706,MUNICIPAL,237.0,40.0,180.0,USGS,OV-14,OV-14,2006,9
107820,OV-21,0.02,TCE,2006-10-03,UG/L,<,0.038,36.72841667,-118.14752778,MUNICIPAL,255.0,140.0,100.0,USGS,OV-21,OV-21,2006,10
107857,OV-01,0.038,TCE,2006-09-11,UG/L,<,0.038,37.38261111,-118.42191667,MUNICIPAL,217.0,0.0,0.0,USGS,OV-01,OV-01,2006,9
107944,OVU-08,0.02,TCE,2006-10-26,UG/L,<,0.038,37.36191667,-118.39647222,MUNICIPAL,600.0,150.0,450.0,USGS,OVU-08,OVU-08,2006,10
108032,OVU-03,0.02,TCE,2006-10-23,UG/L,<,0.038,36.69844444,-118.06180556,MUNICIPAL,78.0,58.0,20.0,USGS,OVU-03,OVU-03,2006,10
108055,OVU-13,0.02,TCE,2006-12-12,UG/L,<,0.02,36.45838889,-117.85188889,MUNICIPAL,130.0,110.0,20.0,USGS,OVU-13,OVU-13,2006,12
108185,OV-13,0.038,TCE,2006-09-18,UG/L,<,0.038,36.78347222,-118.29294444,MUNICIPAL,114.0,69.0,40.0,USGS,OV-13,OV-13,2006,9
108232,SIERRA-SL-11,0.02,TCE,2008-09-23,UG/L,<,0.02,37.3235,-118.50044444,MUNICIPAL,300.0,50.0,230.0,USGS,SIERRA-SL-11,SIERRA-SL-11,2008,9
108543,SCRV-05,0.02,TCE,2007-04-03,UG/L,<,0.02,34.40719444,-118.92769444,MUNICIPAL,300.0,50.0,230.0,USGS,SCRV-05,SCRV-05,2007,4
108745,COLOR-06,0.022000000000000002,TCE,2011-01-03,UG/L,<,0.022000000000000002,33.61280215,-114.60329021,MUNICIPAL,505.0,421.0,-421.0,USGS,COLOR-06,COLOR-06,2011,1
108779,COLOR-04,0.02,TCE,2007-10-03,UG/L,<,0.02,33.4035856,-114.72720904,MUNICIPAL,90.0,30.0,60.0,USGS,COLOR-04,COLOR-04,2007,10
108945,ESAC-22,0.038,TCE,2006-07-26,UG/L,<,0.038,39.32886111,-121.53458333,MUNICIPAL,90.0,0.0,0.0,USGS,ESAC-22,ESAC-22,2006,7
109175,NSAC-13,0.02,TCE,2007-11-27,UG/L,<,0.02,40.01011111,-122.08377778,MUNICIPAL,220.0,100.0,120.0,USGS,NSAC-13,NSAC-13,2007,11
109199,NSAC-02,0.02,TCE,2007-10-24,UG/L,<,0.02,40.10713889,-122.10755556,MUNICIPAL,85.0,0.0,0.0,USGS,NSAC-02,NSAC-02,2007,10
109233,S9_REDBLS_RB22,0.025,TCE,2018-12-18,UG/L,<,0.025,40.04369444,-122.10313889,MUNICIPAL,,,,USGS,S9_REDBLS_RB22,S9_REDBLS_RB22,2018,12
109267,NSAC-16,0.022000000000000002,TCE,2011-01-12,UG/L,<,0.022000000000000002,40.02180556,-122.09813889,MUNICIPAL,307.0,90.0,217.0,USGS,NSAC-16,NSAC-16,2011,1
109372,NSAC-MW-01,0.02,TCE,2008-01-07,UG/L,<,0.02,40.23408333,-122.25316667,MUNICIPAL,415.0,160.0,235.0,USGS,NSAC-MW-01,NSAC-MW-01,2008,1
109533,NAM-02,0.022000000000000002,TCE,2014-05-15,UG/L,<,0.022000000000000002,38.6175,-121.46888889,MUNICIPAL,375.0,112.0,216.0,USGS,NAM-02,NAM-02,2014,5
109657,WSAC-06,0.038,TCE,2006-07-12,UG/L,<,0.038,39.774,-122.35466667,MUNICIPAL,0.0,0.0,0.0,USGS,WSAC-06,WSAC-06,2006,7
109681,S9_REDBLS_RB18,0.025,TCE,2018-12-04,UG/L,<,0.025,40.15636111,-122.15552778,MUNICIPAL,,,,USGS,S9_REDBLS_RB18,S9_REDBLS_RB18,2018,12
109745,ESAC-27,0.038,TCE,2006-08-02,UG/L,<,0.038,39.15472222,-121.59266667,MUNICIPAL,135.0,65.0,60.0,USGS,ESAC-27,ESAC-27,2006,8
110099,S7-SAC-SA07,0.025,TCE,2017-10-19,UG/L,<,0.025,38.43334444,-121.51520278,MUNICIPAL,227.0,205.0,22.0,USGS,S7-SAC-SA07,S7-SAC-SA07,2017,10
110366,S10-ESJB-14,0.025,TCE,2019-07-10,UG/L,<,0.025,38.23644444,-121.09538889,MUNICIPAL,,,,USGS,S10-ESJB-14,S10-ESJB-14,2019,7
110416,SUI-03,0.022000000000000002,TCE,2011-12-15,UG/L,<,0.022000000000000002,38.20433333,-121.87461111,MUNICIPAL,225.0,60.0,20.0,USGS,SUI-03,SUI-03,2011,12
110530,SOL-07,0.038,TCE,2005-04-21,UG/L,<,0.038,38.16280556,-121.60336111,MUNICIPAL,335.0,95.0,-95.0,USGS,SOL-07,SOL-07,2005,4
110585,COS-07,0.038,TCE,2005-01-03,UG/L,<,0.038,38.33269075,-121.26189247,MUNICIPAL,160.0,0.0,0.0,USGS,COS-07,COS-07,2005,1
110880,MSSV-11,0.022000000000000002,TCE,2014-09-08,UG/L,<,0.022000000000000002,36.31769444,-121.27255556,MUNICIPAL,883.0,313.0,550.0,USGS,MSSV-11,MSSV-11,2014,9
110898,MSSV-06,0.038,TCE,2005-08-02,UG/L,<,0.038,36.18836111,-121.12530556,MUNICIPAL,220.0,160.0,60.0,USGS,MSSV-06,MSSV-06,2005,8
110935,MSSV-06,0.022000000000000002,TCE,2014-08-18,UG/L,<,0.022000000000000002,36.18836111,-121.12530556,MUNICIPAL,220.0,160.0,60.0,USGS,MSSV-06,MSSV-06,2014,8
110955,S-MS-SV15,0.022000000000000002,TCE,2012-11-27,UG/L,<,0.022000000000000002,36.00680556,-120.91822222,MUNICIPAL,180.0,100.0,80.0,USGS,S-MS-SV15,S-MS-SV15,2012,11
111021,S-MS-SV25,0.022000000000000002,TCE,2013-03-20,UG/L,<,0.022000000000000002,36.26438889,-121.18380556,MUNICIPAL,275.0,115.0,105.0,USGS,S-MS-SV25,S-MS-SV25,2013,3
111049,S-MS-SV29,0.025,TCE,2018-04-02,UG/L,<,0.025,36.18994444,-121.06894444,MUNICIPAL,84.0,70.0,10.0,USGS,S-MS-SV29,S-MS-SV29,2018,4
111084,MSSV-03,0.022000000000000002,TCE,2014-09-10,UG/L,<,0.022000000000000002,36.10730556,-121.01022222,MUNICIPAL,140.0,90.0,50.0,USGS,MSSV-03,MSSV-03,2014,9
111176,MSMB-43,0.038,TCE,2005-09-23,UG/L,<,0.038,36.50241667,-121.44080556,MUNICIPAL,0.0,0.0,0.0,USGS,MSMB-43,MSMB-43,2005,9
111433,ULASF-05,0.03,TCE,2015-08-13,UG/L,,0.022000000000000002,34.19405556,-118.41594444,MUNICIPAL,594.0,195.0,383.0,USGS,ULASF-05,ULASF-05,2015,8
111747,ULASFU-05,0.028999999999999998,TCE,2005-07-19,UG/L,=,0.038,34.23322222,-118.38191667,MUNICIPAL,610.0,310.0,290.0,USGS,ULASFU-05,ULASFU-05,2005,7
112200,ULASG-20,0.273,TCE,2005-07-12,UG/L,,0.038,34.08891667,-117.94566667,MUNICIPAL,500.0,198.0,286.0,USGS,ULASG-20,ULASG-20,2005,7
112420,CE-QPC-02,0.022000000000000002,TCE,2010-03-10,UG/L,<,0.022000000000000002,37.64116667,-120.7455,MUNICIPAL,300.0,124.0,-124.0,USGS,CE-QPC-02,CE-QPC-02,2010,3
112509,S3-MACK-K49,0.025,TCE,2019-03-05,UG/L,<,0.025,36.86894444,-119.55802778,MUNICIPAL,160.0,23.0,137.0,USGS,S3-MACK-K49,S3-MACK-K49,2019,3
112572,KING-12,0.038,TCE,2005-10-20,UG/L,<,0.038,36.60758333,-119.43777778,MUNICIPAL,246.0,126.0,120.0,USGS,KING-12,KING-12,2005,10
112592,MADCHOW-19,0.02,TCE,2008-05-06,UG/L,<,0.02,36.92741667,-119.76030556,MUNICIPAL,200.0,140.0,-140.0,USGS,MADCHOW-19,MADCHOW-19,2008,5
112661,KERN-47,0.022000000000000002,TCE,2016-01-14,UG/L,<,0.022000000000000002,35.44272222,-119.20094444,MUNICIPAL,810.0,0.0,0.0,USGS,KERN-47,KERN-47,2016,1
112871,S10-ESJB-07,0.025,TCE,2019-09-11,UG/L,<,0.025,37.82072222,-120.72152778,MUNICIPAL,,,,USGS,S10-ESJB-07,S10-ESJB-07,2019,9
112918,MADCHOW-04,0.02,TCE,2008-04-16,UG/L,<,0.02,36.84488889,-119.82480556,MUNICIPAL,480.0,180.0,290.0,USGS,MADCHOW-04,MADCHOW-04,2008,4
113054,S4-TUSK-HLS07,0.022000000000000002,TCE,2014-12-04,UG/L,<,0.022000000000000002,36.18697222,-119.01805556,MUNICIPAL,410.0,63.0,347.0,USGS,S4-TUSK-HLS07,S4-TUSK-HLS07,2014,12
113133,KERN-42,0.022000000000000002,TCE,2016-01-12,UG/L,<,0.022000000000000002,35.30088889,-119.08169444,MUNICIPAL,718.0,0.0,0.0,USGS,KERN-42,KERN-42,2016,1
113147,S3-MACK-M23,0.022000000000000002,TCE,2013-12-09,UG/L,<,0.022000000000000002,36.88430556,-119.78372222,MUNICIPAL,165.0,130.0,10.0,USGS,S3-MACK-M23,S3-MACK-M23,2013,12
113163,KERN-39,0.038,TCE,2006-01-12,UG/L,<,0.038,35.53272222,-119.28016667,MUNICIPAL,694.0,494.0,200.0,USGS,KERN-39,KERN-39,2006,1
113231,S4-TUSK-TLE28,0.022000000000000002,TCE,2015-04-20,UG/L,<,0.022000000000000002,35.90552778,-119.04186111,MUNICIPAL,0.0,0.0,0.0,USGS,S4-TUSK-TLE28,S4-TUSK-TLE28,2015,4
113258,KINGFP-15,0.038,TCE,2005-11-16,UG/L,<,0.038,36.68858333,-119.91655556,MUNICIPAL,208.0,178.0,20.0,USGS,KINGFP-15,KINGFP-15,2005,11
113338,KINGFP-08,0.038,TCE,2005-11-02,UG/L,<,0.038,36.72739391,-119.59714324,MUNICIPAL,81.0,71.0,5.0,USGS,KINGFP-08,KINGFP-08,2005,11
113527,KINGFP-05,0.038,TCE,2005-10-31,UG/L,<,0.038,36.71549107,-119.62428828,MUNICIPAL,172.0,162.0,5.0,USGS,KINGFP-05,KINGFP-05,2005,10
113612,TRLK-03,0.022000000000000002,TCE,2016-03-03,UG/L,<,0.022000000000000002,37.59861111,-120.85366667,MUNICIPAL,497.0,230.0,230.0,USGS,TRLK-03,TRLK-03,2016,3
113724,KINGFP-10,0.038,TCE,2005-11-03,UG/L,<,0.038,36.72739391,-119.59714324,MUNICIPAL,268.0,258.0,5.0,USGS,KINGFP-10,KINGFP-10,2005,11
114201,TRLKMW-04,0.038,TCE,2006-03-16,UG/L,<,0.038,37.54437778,-120.79343611,MUNICIPAL,101.0,91.0,5.0,USGS,TRLKMW-04,TRLKMW-04,2006,3
114230,MADCHOW-18,0.02,TCE,2008-05-06,UG/L,<,0.02,36.92411111,-120.03497222,MUNICIPAL,330.0,0.0,0.0,USGS,MADCHOW-18,MADCHOW-18,2008,5
114512,S3-MACK-K43,0.022000000000000002,TCE,2014-03-05,UG/L,<,0.022000000000000002,36.54227778,-119.23361111,MUNICIPAL,160.0,60.0,100.0,USGS,S3-MACK-K43,S3-MACK-K43,2014,3
114587,KING-13,0.022000000000000002,TCE,2015-12-02,UG/L,<,0.022000000000000002,36.59561111,-119.46791667,MUNICIPAL,420.0,260.0,140.0,USGS,KING-13,KING-13,2015,12
114805,KING-20,0.022000000000000002,TCE,2015-10-20,UG/L,<,0.022000000000000002,36.73219444,-119.50105556,MUNICIPAL,124.0,0.0,0.0,USGS,KING-20,KING-20,2015,10
114852,MER-06,0.022000000000000002,TCE,2016-03-17,UG/L,<,0.022000000000000002,37.28938605,-120.32434967,MUNICIPAL,178.0,130.0,20.0,USGS,MER-06,MER-06,2016,3
